Source,RunTag,OptimizerGroup,Config,Mean_RMSE_Stable,Stability_Fraction,Warning_Count,Stable_Chunks,Unstable_Chunks,Num_Chunks
try_lasso_sr3,n2,Lasso,alpha_1e-09_tol_1e-07,0.015537149658905063,0.6734619252216839,3572,7367,3572,10939
try_lasso_sr3,n2,SR3_l0,L0_thr_1e-10_nu_1.0_tol_1e-06,0.015550554512069006,0.6725477648779596,3582,7357,3582,10939
try_lasso_sr3,n2,SR3_l1,L1_thr_1e-10_nu_1.0_tol_1e-06,0.015550554512069006,0.6725477648779596,3582,7357,3582,10939
try_lasso_sr3,n2,SR3_l2,L2_thr_1e-05_nu_0.001_tol_1e-07,0.015476457915721975,0.672639180912332,3581,7358,3581,10939
try_lasso_sr3,n2withfourier1,Lasso,alpha_1e-06_tol_1e-07,0.016041217173165506,0.8143340341895968,2031,8908,2031,10939
try_lasso_sr3,n2withfourier1,SR3_l0,L0_thr_1e-08_nu_0.001_tol_1e-06,0.02189619393772155,0.661120760581406,3707,7232,3707,10939
try_lasso_sr3,n2withfourier1,SR3_l1,L1_thr_1e-08_nu_0.1_tol_1e-06,0.021896193937798118,0.661120760581406,3707,7232,3707,10939
try_lasso_sr3,n2withfourier1,SR3_l2,L2_thr_1e-06_nu_0.1_tol_1e-06,0.021895077049267134,0.6669713867812415,3643,7296,3643,10939
try_lasso_sr3,n3,Lasso,alpha_1e-06_tol_1e-06,0.010081920449071186,0.5857939482585246,4531,6408,4531,10939
try_lasso_sr3,n3,SR3_l0,L0_thr_1e-08_nu_0.1_tol_1e-07,0.020215253340812003,0.5118383764512295,5340,5599,5340,10939
try_lasso_sr3,n3,SR3_l1,L1_thr_1e-07_nu_0.1_tol_1e-06,0.018020105003048837,0.5120212085199745,5338,5601,5338,10939
try_lasso_sr3,n3,SR3_l2,L2_thr_1e-07_nu_0.001_tol_1e-06,0.013945998321048016,0.540908675381662,5022,5917,5022,10939
try_stlsq,n2,STLSQ,thr_1e-09_alpha_1e+01,0.01546076439591154,0.6734619252216839,3572,7367,3572,10939
try_stlsq,n2withfourier1,STLSQ,thr_1e-08_alpha_1e-02,0.021785300293071547,0.6706280281561385,3603,7336,3603,10939
try_stlsq,n3,STLSQ,thr_1e-08_alpha_1e+01,0.019266395526232237,0.5404515952097998,5027,5912,5027,10939
